"GEO_ID","B01003_001E","B01003_001M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Geographic Area Name"
"310M100US29820","1895521","*****","Las Vegas-Paradise, NV Metro Area"
"310M100US29860","84527","*****","Laurel, MS Micro Area"
"310M100US29900","36325","*****","Laurinburg, NC Micro Area"
"310M100US29940","109052","*****","Lawrence, KS Metro Area"
"310M100US29980","41319","*****","Lawrenceburg, TN Micro Area"
"310M100US30020","119902","*****","Lawton, OK Metro Area"
"310M100US30060","35357","*****","Lebanon, MO Micro Area"
"310M100US30100","174306","*****","Lebanon, NH-VT Micro Area"
"310M100US30140","131341","*****","Lebanon, PA Metro Area"
"310M100US30220","22933","*****","Levelland, TX Micro Area"
"310M100US30260","44866","*****","Lewisburg, PA Micro Area"
"310M100US30280","29902","*****","Lewisburg, TN Micro Area"
"310M100US30300","60249","*****","Lewiston, ID-WA Metro Area"
"310M100US30340","107882","*****","Lewiston-Auburn, ME Metro Area"
"310M100US30380","46583","*****","Lewistown, PA Micro Area"
"310M100US30420","26303","*****","Lexington, NE Micro Area"
"310M100US30460","459761","*****","Lexington-Fayette, KY Metro Area"
"310M100US30500","102086","*****","Lexington Park, MD Micro Area"
"310M100US30580","22588","*****","Liberal, KS Micro Area"
"310M100US30620","106586","*****","Lima, OH Metro Area"
"310M100US30660","30440","*****","Lincoln, IL Micro Area"
"310M100US30700","296056","*****","Lincoln, NE Metro Area"
"310M100US30740","75697","*****","Lincolnton, NC Micro Area"
"310M100US30780","681812","*****","Little Rock-North Little Rock-Conway, AR Metro Area"
"310M100US30820","38970","*****","Lock Haven, PA Micro Area"
"310M100US30860","119575","*****","Logan, UT-ID Metro Area"
"310M100US30900","39058","*****","Logansport, IN Micro Area"
"310M100US30940","58155","*****","London, KY Micro Area"
"310M100US30980","210226","*****","Longview, TX Metro Area"
"310M100US31020","101244","*****","Longview, WA Metro Area"
"310M100US31060","18091","*****","Los Alamos, NM Micro Area"
"310M100US31100","12723781","*****","Los Angeles-Long Beach-Santa Ana, CA Metro Area"
"310M100US31140","1261825","*****","Louisville/Jefferson County, KY-IN Metro Area"
"310M100US31180","276139","*****","Lubbock, TX Metro Area"
"310M100US31260","85254","*****","Lufkin, TX Micro Area"
"310M100US31300","131708","*****","Lumberton, NC Micro Area"
"310M100US31340","248742","*****","Lynchburg, VA Metro Area"
"310M100US31380","32730","*****","Macomb, IL Micro Area"
"310M100US31420","231172","*****","Macon, GA Metro Area"
"310M100US31460","147738","*****","Madera-Chowchilla, CA Metro Area"
"310M100US31500","32393","*****","Madison, IN Micro Area"
"310M100US31540","557744","*****","Madison, WI Metro Area"
"310M100US31580","46886","*****","Madisonville, KY Micro Area"
"310M100US31620","24756","*****","Magnolia, AR Micro Area"
"310M100US31660","51697","*****","Malone, NY Micro Area"
"310M100US31700","399555","*****","Manchester-Nashua, NH Metro Area"
"310M100US31740","120353","*****","Manhattan, KS Metro Area"
"310M100US31820","81678","*****","Manitowoc, WI Micro Area"
"310M100US31860","94990","*****","Mankato-North Mankato, MN Metro Area"
"310M100US31900","125980","*****","Mansfield, OH Metro Area"
"310M100US31920","42215","*****","Marble Falls, TX Micro Area"
"310M100US31940","66264","*****","Marinette, WI-MI Micro Area"
"310M100US31980","70176","*****","Marion, IN Micro Area"
"310M100US32020","66530","*****","Marion, OH Micro Area"
"310M100US32060","65579","*****","Marion-Herrin, IL Micro Area"
"310M100US32100","66514","*****","Marquette, MI Micro Area"
"310M100US32140","25606","*****","Marshall, MN Micro Area"
"310M100US32180","23126","*****","Marshall, MO Micro Area"
"310M100US32220","64484","*****","Marshall, TX Micro Area"
"310M100US32260","40131","*****","Marshalltown, IA Micro Area"
"310M100US32270","74601","*****","Marshfield-Wisconsin Rapids, WI Micro Area"
"310M100US32280","34557","*****","Martin, TN Micro Area"
"310M100US32300","68889","*****","Martinsville, VA Micro Area"
"310M100US32340","23031","*****","Maryville, MO Micro Area"
"310M100US32380","51952","*****","Mason City, IA Micro Area"
"310M100US32420","108418","*****","Mayag?ez, PR Metro Area"
"310M100US32460","36958","*****","Mayfield, KY Micro Area"
"310M100US32500","31330","*****","Maysville, KY Micro Area"
"310M100US32540","45417","*****","McAlester, OK Micro Area"
"310M100US32580","736973","*****","McAllen-Edinburg-Mission, TX Metro Area"
"310M100US32620","53602","*****","McComb, MS Micro Area"
"310M100US32660","39539","*****","McMinnville, TN Micro Area"
"310M100US32700","29178","*****","McPherson, KS Micro Area"
"310M100US32740","89153","*****","Meadville, PA Micro Area"
"310M100US32780","200587","*****","Medford, OR Metro Area"
"310M100US32820","1301248","*****","Memphis, TN-MS-AR Metro Area"
"310M100US32860","43365","*****","Menomonie, WI Micro Area"
"310M100US32900","250699","*****","Merced, CA Metro Area"
